Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,notes
46,,H100,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,1,1,0,0,5,144.56,0.0774,
65,,H100,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,0,0,185.03,0.0746,
87,,H100,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,0,186.99,0.1151,
105,,H100,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,178.79,0.0958,
16,,Il14H,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,0,0,0,0,100,0,0,
33,,Il14H,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,0,0,0,0,100,0,0,
50,,Il14H,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,1,1,0,1,0,153.81,0.196,
68,,Il14H,14,rep3,control,MockInoc,control,na,BMDI,4,2,0,0,0,0,100,0,0,
85,,Il14H,14,rep3,control,MockInoc,control,na,BMDI,8,4,0,0,0,0,100,0,0,
104,,Il14H,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,179.63,0.072,
14,,Ms71,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,0,0,0,0,100,0,0,
34,,Ms71,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,1,1,0,0,0,176.06,0.0944,
53,,Ms71,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,1,1,0,0,30,151.82,0.0788,
72,,Ms71,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,0,0,195.53,0.076,
89,,Ms71,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,10,198.14,0.1789,
102,,Ms71,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,181.86,0.101,
15,,NC304,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,1,1,0,0,0,173.49,0.1433,
35,,NC304,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,1,1,0,0,30,140.06,0.0592,
54,,NC304,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,1,1,0,0,80,153.94,0.0506,
66,,NC304,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,1,0,171.94,0.1284,
90,,NC304,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,0,174.5,0.1378,
101,,NC304,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,163.85,0.157,
13,,Oh7B,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,1,1,0,0,0,186,0.0877,
