Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,percentLengthPedByIsolate,percentMassPedByIsolate
24,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,0,0,0,0,100,0,0,1.336686176,1.21709267
87,,CML333,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,1,1,1,0,80,73.25,0.0241,1.326517882,0.598028968
90,,CML333,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,12,4,1,1,1,0,5,213.81,0.0587,1.317576934,1.257876661
15,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,1,0,1,0,5,186.5,0.0829,1.31418076,0.505300881
73,,B73,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,1,1,1,0,0,149.73,0.122,1.311502791,1.557819141
100,,CML333,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,13,5,1,1,1,0,60,114.4,0.0738,1.303021902,1.291473794
22,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,1,1,1,0,0,186.98,0.1304,1.301150541,1.681200538
32,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,1,0,1,0,0,174.45,0.0602,1.295952315,1.75242646
28,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,1,1,1,0,0,166.63,0.1226,1.292657921,1.818038509
38,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,1,1,1,0,0,196.24,0.1511,1.292625451,1.114080932
93,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,12,4,1,1,1,0,0,180.08,0.1144,1.279770071,1.491298042
33,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,1,1,1,0,0,183.98,0.1201,1.277255298,1.163382502
4,,B73,12,GH3,control,MockInoc,Standard,na,BMDI,1,1,1,1,1,0,0,183.07,0.0981,1.274779131,1.279495823
92,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,12,4,1,1,1,0,10,174.99,0.0471,1.271370333,0.477311114
99,,Oh7B,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,13,5,1,1,1,0,15,152.88,0.0881,1.264706689,1.220449601
83,,B73,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,0,0,0,0,100,0,0,1.26403235,0.922028433
14,,B73,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,1,1,1,0,0,187.19,0.1004,1.254208606,1.528799648
102,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,13,5,1,1,1,0,0,171.64,0.0746,1.247031282,0.755995946
23,,B73,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,1,0,1,0,30,147.65,0.0765,1.234165531,1.32434413
7,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,1,1,1,1,1,0,0,189.19,0.1177,1.232650904,1.624693252
45,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,0,0,0,0,100,0,0,1.226850568,1.107361505
13,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,1,1,1,0,0,149.34,0.0601,1.217144222,0.865490798
42,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,1,1,1,0,0,154.3,0.1059,1.210631685,1.242427655
26,,B73,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,1,1,1,0,0,183.53,0.0957,1.210034724,1.262347941
51,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,7,3,1,0,1,0,5,189.61,0.0376,1.209107291,0.809018964
40,,B73,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,1,1,1,0,0,193.35,0.097,1.20700189,1.294005569
19,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,1,1,1,0,5,175.49,0.0908,1.189127948,0.826840491
79,,H100,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,0,0,0,0,100,0,0,1.188150636,1.45904908
81,,H100,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,0,0,0,0,100,0,0,1.183980772,1.057361963
95,,H100,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,12,4,1,1,1,0,5,182.36,0.1057,1.175250119,1.474233129
29,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,1,1,1,0,0,179.35,0.0737,1.168539245,1.017331288
12,,B73,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,3,2,0,0,0,0,100,0,0,1.163308654,1.116453965
69,,B73,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,1,1,0,0,0,152.53,0.1774,1.16258041,0.988605287
43,,B73,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,1,1,1,0,0,190.23,0.1159,1.15109226,0.832331819
36,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,1,1,1,0,15,186.81,0.0627,1.143389752,1.253374233
97,,H100,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,13,5,1,1,1,0,65,138,0.0768,1.14130482,0.840644172
61,,H100,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,1,1,1,0,0,172.96,0.1146,1.1210678,0.673264781
52,,CML103,12,GH3,control,MockInoc,Standard,na,BMDI,7,3,1,1,1,0,0,188.64,0.1239,1.121049445,1.073189956
47,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,1,1,1,0,5,146.96,0.1036,1.118631184,1.152607362
12,,H100,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,2,1,1,1,1,0,60,149.47,0.0661,1.105308342,1.255526992
108,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,14,5,0,0,0,0,100,0,0,1.096928355,0.571557257
62,,Ms71,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,0,0,1,0,60,150.16,0.0232,1.092692447,1.222277973
60,,CML277,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,0,0,1,0,30,197.86,0.0953,1.092199739,1.208779443
63,,NC304,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,1,1,1,0,0,208.47,0.1143,1.090400307,1.048944631
58,,Oh7B,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,1,1,1,0,0,186.48,0.0934,1.088315438,1.283188908
33,,Ms71,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,4,2,1,1,1,0,0,176.78,0.1005,1.076334956,1.110888108
73,,CML277,14,GH1,control,MockInoc,Standard,na,BMDI,9,5,1,1,1,0,0,200.79,0.1129,1.076261967,1.020342612
57,,CML333,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,0,0,1,0,0,164.44,0.0601,1.072376561,1.545230769
11,,Oh7B,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,2,1,0,0,1,0,50,197.74,0.0912,1.070504376,0.948353553
31,,H100,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,4,2,1,1,1,0,10,174.44,0.0806,1.069680927,0.62159383
40,,Ms71,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,5,3,1,1,1,0,20,178.32,0.0738,1.067039556,1.512794782
80,,H100,14,GH1,control,MockInoc,Standard,na,BMDI,9,5,1,1,1,0,5,182.82,0.0873,1.060605441,0.883804627
70,,Oh7B,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,1,1,0,0,0,167.44,0.118,1.057917324,0.791865358
17,,CML103,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,2,1,1,1,1,0,0,186.38,0.2163,1.039873535,1.600246609
56,,CML103,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,1,1,1,0,0,180.25,0.1289,1.039036638,0.989889026
64,,CML277,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,1,1,0,0,5,168.21,0.087,1.034672249,1.119159725
72,,Ms71,14,GH2,control,MockInoc,Standard,na,BMDI,4,2,1,1,0,0,0,195.53,0.076,1.032821921,1.508007867
90,,NC304,14,GH2,control,MockInoc,Standard,na,BMDI,8,4,1,1,0,0,0,174.5,0.1378,1.031476282,0.934871099
16,,CML333,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,2,1,0,0,1,0,5,170.68,0.1016,1.030873917,0.739384615
59,,B73,14,GH1,control,MockInoc,Standard,na,BMDI,7,4,1,1,1,0,0,189.12,0.1144,1.030308533,1.008818342
15,,NC304,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,3,2,1,1,0,0,0,173.49,0.1433,1.025506133,0.972184532
